rental_id,rental_date,return_date,rental_days,customer_id,customer_name,store_id,store_location,film_id,film_title,category_id,category_name,payment_id,payment_date,payment_amount
50,"2005-05-25 06:44:53","2005-05-28 11:28:53",3,18,"CAROL GARCIA",2,"Woodridge, Australia",432,"HOPE TOOTSIE",4,Classics,468,"2005-05-25 06:44:53",2.99
51,"2005-05-25 06:49:10","2005-05-26 06:42:10",1,256,"MABEL HOLLAND",1,"Lethbridge, Canada",278,"ELF MURDER",12,Music,6889,"2005-05-25 06:49:10",4.99
52,"2005-05-25 06:51:29","2005-05-31 01:27:29",6,507,"EDGAR RHOADS",1,"Lethbridge, Canada",875,"TALENTED HOMICIDE",15,Sports,13661,"2005-05-25 06:51:29",0.99
53,"2005-05-25 07:19:16","2005-05-27 05:19:16",2,569,"DAVE GARDINER",1,"Lethbridge, Canada",277,"ELEPHANT TROJAN",11,Horror,15230,"2005-05-25 07:19:16",4.99
54,"2005-05-25 07:23:25","2005-06-01 05:05:25",7,291,"TONI HOLT",1,"Lethbridge, Canada",611,"MUSKETEERS WAIT",4,Classics,7872,"2005-05-25 07:23:25",4.99
55,"2005-05-25 08:26:13","2005-05-30 10:57:13",5,131,"MONICA HICKS",2,"Woodridge, Australia",252,"DREAM PICKUP",1,Action,3528,"2005-05-25 08:26:13",2.99
56,"2005-05-25 08:28:11","2005-05-26 14:21:11",1,511,"CHESTER BENNER",2,"Woodridge, Australia",298,"EYES DRIVING",14,Sci-Fi,13757,"2005-05-25 08:28:11",2.99
57,"2005-05-25 08:43:32","2005-05-29 06:42:32",4,6,"JENNIFER DAVIS",2,"Woodridge, Australia",858,"SUBMARINE BED",5,Comedy,146,"2005-05-25 08:43:32",4.99
58,"2005-05-25 08:53:14","2005-05-28 14:40:14",3,323,"MATTHEW MAHAN",1,"Lethbridge, Canada",670,"PELICAN COMFORTS",6,Documentary,8723,"2005-05-25 08:53:14",4.99
59,"2005-05-25 08:56:42","2005-06-01 09:52:42",7,408,"MANUEL MURRELL",2,"Woodridge, Australia",633,"OCTOBER SUBMARINE",4,Classics,11033,"2005-05-25 08:56:42",5.99
60,"2005-05-25 08:58:25","2005-05-30 14:14:25",5,470,"GORDON ALLARD",2,"Woodridge, Australia",73,"BINGO TALENTED",14,Sci-Fi,12690,"2005-05-25 08:58:25",2.99
61,"2005-05-25 09:01:57","2005-06-02 07:22:57",8,250,"JO FOWLER",1,"Lethbridge, Canada",915,"TRUMAN CRAZY",1,Action,6737,"2005-05-25 09:01:57",5.99
62,"2005-05-25 09:18:52","2005-05-30 10:55:52",5,419,"CHAD CARBONE",2,"Woodridge, Australia",58,"BEACH HEARTBREAKERS",6,Documentary,11325,"2005-05-25 09:18:52",2.99
63,"2005-05-25 09:19:16","2005-05-27 04:24:16",2,383,"MARTIN BALES",1,"Lethbridge, Canada",873,"SWEETHEARTS SUSPECTS",3,Children,10366,"2005-05-25 09:19:16",0.99
64,"2005-05-25 09:21:29","2005-06-03 11:31:29",9,368,"HARRY ARCE",2,"Woodridge, Australia",16,"ALLEY EVOLUTION",9,Foreign,9940,"2005-05-25 09:21:29",5.99
65,"2005-05-25 09:32:03","2005-05-29 14:21:03",4,346,"ARTHUR SIMPKINS",2,"Woodridge, Australia",776,"SECRET GROUNDHOG",6,Documentary,9336,"2005-05-25 09:32:03",4.99
66,"2005-05-25 09:35:12","2005-05-29 04:16:12",4,86,"JACQUELINE LONG",2,"Woodridge, Australia",257,"DRUMLINE CYCLONE",16,Travel,2325,"2005-05-25 09:35:12",1.99
67,"2005-05-25 09:41:01","2005-05-27 13:46:01",2,119,"SHERRY MARSHALL",1,"Lethbridge, Canada",54,"BANGER PINOCCHIO",12,Music,3188,"2005-05-25 09:41:01",0.99
68,"2005-05-25 09:47:31","2005-05-31 10:20:31",6,120,"SYLVIA ORTIZ",2,"Woodridge, Australia",878,"TEEN APOLLO",16,Travel,3222,"2005-05-25 09:47:31",7.99
69,"2005-05-25 10:10:14","2005-05-27 14:02:14",2,305,"RICHARD MCCRARY",1,"Lethbridge, Canada",705,"PURPLE MOVIE",9,Foreign,8269,"2005-05-25 10:10:14",2.99
70,"2005-05-25 10:15:23","2005-05-27 05:56:23",2,73,"BEVERLY BROOKS",1,"Lethbridge, Canada",468,"INVASION CYCLONE",3,Children,1970,"2005-05-25 10:15:23",2.99
71,"2005-05-25 10:26:39","2005-05-28 04:59:39",3,100,"ROBIN HAYES",2,"Woodridge, Australia",525,"LOATHING LEGALLY",4,Classics,2688,"2005-05-25 10:26:39",0.99
72,"2005-05-25 10:52:13","2005-05-28 05:52:13",3,48,"ANN EVANS",1,"Lethbridge, Canada",489,"JUGGLER HARDLY",2,Animation,1312,"2005-05-25 10:52:13",0.99
73,"2005-05-25 11:00:07","2005-06-01 13:56:07",7,391,"CLARENCE GAMEZ",2,"Woodridge, Australia",114,"CAMELOT VACATION",14,Sci-Fi,10588,"2005-05-25 11:00:07",4.99
74,"2005-05-25 11:09:48","2005-05-26 12:23:48",1,265,"JENNIE TERRY",2,"Woodridge, Australia",379,"GREEDY ROOTS",7,Drama,7152,"2005-05-25 11:09:48",0.99
75,"2005-05-25 11:13:34","2005-06-03 12:58:34",9,510,"BEN EASTER",1,"Lethbridge, Canada",745,"ROSES TREASURE",15,Sports,13731,"2005-05-25 11:13:34",8.99
76,"2005-05-25 11:30:37","2005-06-03 12:00:37",9,1,"UpdatedName SMITH",2,"Woodridge, Australia",663,"PATIENT SISTER",4,Classics,1,"2005-05-25 11:30:37",2.99
77,"2005-05-25 11:31:59","2005-05-26 16:53:59",1,451,"JIM REA",2,"Woodridge, Australia",287,"ENTRAPMENT SATISFACTION",1,Action,12160,"2005-05-25 11:31:59",0.99
78,"2005-05-25 11:35:18","2005-05-31 12:48:18",6,135,"JUANITA MASON",1,"Lethbridge, Canada",887,"THIEF PELICAN",2,Animation,3636,"2005-05-25 11:35:18",5.99
79,"2005-05-25 12:11:07","2005-06-03 10:54:07",9,245,"COURTNEY DAY",2,"Woodridge, Australia",726,"RESERVOIR ADAPTATION",9,Foreign,6622,"2005-05-25 12:11:07",4.99
80,"2005-05-25 12:12:07","2005-05-31 17:46:07",6,314,"GEORGE LINTON",1,"Lethbridge, Canada",543,"MADIGAN DORADO",16,Travel,8504,"2005-05-25 12:12:07",5.99
81,"2005-05-25 12:15:19","2005-06-02 14:08:19",8,286,"VELMA LUCAS",2,"Woodridge, Australia",572,"METROPOLIS COMA",14,Sci-Fi,7734,"2005-05-25 12:15:19",6.99
82,"2005-05-25 12:17:46","2005-06-01 10:48:46",7,427,"JESUS MCCARTNEY",2,"Woodridge, Australia",304,"FARGO GANDHI",3,Children,11533,"2005-05-25 12:17:46",6.99
83,"2005-05-25 12:30:15","2005-05-27 15:40:15",2,131,"MONICA HICKS",1,"Lethbridge, Canada",103,"BUCKET BROTHERHOOD",16,Travel,3529,"2005-05-25 12:30:15",4.99
84,"2005-05-25 12:36:30","2005-05-29 18:33:30",4,492,"LESTER KRAUS",2,"Woodridge, Australia",397,"HANKY OCTOBER",14,Sci-Fi,13260,"2005-05-25 12:36:30",2.99
85,"2005-05-25 13:05:34","2005-05-29 16:53:34",4,414,"VINCENT RALSTON",2,"Woodridge, Australia",103,"BUCKET BROTHERHOOD",16,Travel,11191,"2005-05-25 13:05:34",4.99
86,"2005-05-25 13:36:12","2005-05-30 14:53:12",5,266,"NORA HERRERA",2,"Woodridge, Australia",491,"JUMPING WRATH",3,Children,7181,"2005-05-25 13:36:12",1.99
87,"2005-05-25 13:52:43","2005-05-29 11:12:43",4,331,"ERIC ROBERT",2,"Woodridge, Australia",348,"GANDHI KWAI",8,Family,8932,"2005-05-25 13:52:43",0.99
88,"2005-05-25 14:13:54","2005-05-29 09:32:54",4,53,"HEATHER MORRIS",2,"Woodridge, Australia",480,"JEEPERS WEDDING",4,Classics,1454,"2005-05-25 14:13:54",3.99
89,"2005-05-25 14:28:29","2005-05-29 14:33:29",4,499,"MARC OUTLAW",2,"Woodridge, Australia",471,"ISLAND EXORCIST",4,Classics,13432,"2005-05-25 14:28:29",2.99
90,"2005-05-25 14:31:25","2005-06-01 10:07:25",7,25,"DEBORAH WALKER",2,"Woodridge, Australia",654,"PANKY SUBMARINE",10,Games,656,"2005-05-25 14:31:25",7.99
91,"2005-05-25 14:57:22","2005-06-01 18:32:22",7,267,"MARGIE WADE",1,"Lethbridge, Canada",28,"ANTHEM LUKE",5,Comedy,7209,"2005-05-25 14:57:22",6.99
92,"2005-05-25 15:38:46","2005-05-31 13:40:46",6,302,"MICHAEL SILVERMAN",2,"Woodridge, Australia",169,"COMFORTS RUSH",16,Travel,8189,"2005-05-25 15:38:46",5.99
93,"2005-05-25 15:54:16","2005-06-03 20:18:16",9,288,"BOBBIE CRAIG",1,"Lethbridge, Canada",951,"VOYAGE LEGALLY",4,Classics,7790,"2005-05-25 15:54:16",3.99
94,"2005-05-25 16:03:42","2005-05-30 14:23:42",5,197,"SUE PETERS",1,"Lethbridge, Canada",366,"GOLDFINGER SENSIBILITY",7,Drama,5316,"2005-05-25 16:03:42",2.99
95,"2005-05-25 16:12:52","2005-06-02 18:55:52",8,400,"BRYAN HARDISON",2,"Woodridge, Australia",39,"ARMAGEDDON LOST",14,Sci-Fi,10806,"2005-05-25 16:12:52",3.99
96,"2005-05-25 16:32:19","2005-05-30 10:47:19",5,49,"JOYCE EDWARDS",2,"Woodridge, Australia",748,"RUGRATS SHAKESPEARE",1,Action,1329,"2005-05-25 16:32:19",1.99
97,"2005-05-25 16:34:24","2005-05-28 12:13:24",3,263,"HILDA HOPKINS",1,"Lethbridge, Canada",284,"ENEMY ODDS",12,Music,7098,"2005-05-25 16:34:24",4.99
98,"2005-05-25 16:48:24","2005-05-27 11:29:24",2,269,"CASSANDRA WALTERS",1,"Lethbridge, Canada",651,"PACKER MADIGAN",2,Animation,7275,"2005-05-25 16:48:24",0.99
99,"2005-05-25 16:50:20","2005-05-28 18:52:20",3,44,"MARIE TURNER",1,"Lethbridge, Canada",117,"CANDLES GRAPES",10,Games,1204,"2005-05-25 16:50:20",4.99
100,"2005-05-25 16:50:28","2005-06-02 22:11:28",8,208,"LUCY WHEELER",1,"Lethbridge, Canada",571,"METAL ARMAGEDDON",6,Documentary,5630,"2005-05-25 16:50:28",4.99
101,"2005-05-25 17:17:04","2005-05-31 19:47:04",6,468,"TIM CARY",2,"Woodridge, Australia",134,"CHAMPION FLATLINERS",2,Animation,12611,"2005-05-25 17:17:04",6.99
102,"2005-05-25 17:22:10","2005-05-31 19:47:10",6,343,"DOUGLAS GRAF",1,"Lethbridge, Canada",82,"BLOOD ARGONAUTS",8,Family,9270,"2005-05-25 17:22:10",3.99
103,"2005-05-25 17:30:42","2005-06-03 22:36:42",9,384,"ERNEST STEPP",1,"Lethbridge, Canada",735,"ROBBERS JOON",3,Children,10393,"2005-05-25 17:30:42",4.99
104,"2005-05-25 17:46:33","2005-05-27 15:20:33",2,310,"DANIEL CABRAL",1,"Lethbridge, Canada",932,"VALLEY PACKER",5,Comedy,8412,"2005-05-25 17:46:33",0.99
105,"2005-05-25 17:54:12","2005-05-30 12:03:12",5,108,"TRACY COLE",2,"Woodridge, Australia",173,"CONFESSIONS MAGUIRE",7,Drama,2903,"2005-05-25 17:54:12",4.99
106,"2005-05-25 18:18:19","2005-06-04 00:01:19",10,196,"ALMA AUSTIN",2,"Woodridge, Australia",791,"SHOW LORD",6,Documentary,5281,"2005-05-25 18:18:19",11.99
107,"2005-05-25 18:28:09","2005-06-03 22:46:09",9,317,"EDWARD BAUGH",2,"Woodridge, Australia",621,"NETWORK PEAK",8,Family,8583,"2005-05-25 18:28:09",6.99
108,"2005-05-25 18:30:05","2005-05-30 19:40:05",5,242,"GLENDA FRAZIER",2,"Woodridge, Australia",724,"REMEMBER DIARY",8,Family,6534,"2005-05-25 18:30:05",2.99
109,"2005-05-25 18:40:20","2005-05-29 20:39:20",4,503,"ANGEL BARCLAY",1,"Lethbridge, Canada",233,"DISCIPLE MOTHER",16,Travel,13545,"2005-05-25 18:40:20",1.99
110,"2005-05-25 18:43:49","2005-06-03 18:13:49",9,19,"RUTH MARTINEZ",2,"Woodridge, Australia",893,"TITANS JERK",14,Sci-Fi,491,"2005-05-25 18:43:49",9.99
111,"2005-05-25 18:45:19","2005-05-28 17:18:19",3,227,"COLLEEN BURTON",2,"Woodridge, Australia",814,"SNATCH SLIPPER",5,Comedy,6110,"2005-05-25 18:45:19",4.99
112,"2005-05-25 18:57:24","2005-06-02 20:44:24",8,500,"REGINALD KINDER",2,"Woodridge, Australia",465,"INTERVIEW LIAISONS",13,New,13462,"2005-05-25 18:57:24",8.99
113,"2005-05-25 19:07:40","2005-05-27 22:16:40",2,93,"PHYLLIS FOSTER",2,"Woodridge, Australia",649,"OZ LIAISONS",2,Animation,2532,"2005-05-25 19:07:40",2.99
114,"2005-05-25 19:12:42","2005-06-01 23:10:42",7,506,"LESLIE SEWARD",2,"Woodridge, Australia",982,"WOMEN DORADO",1,Action,13626,"2005-05-25 19:12:42",3.99
115,"2005-05-25 19:13:25","2005-05-29 20:17:25",4,455,"JON WILES",1,"Lethbridge, Canada",164,"COAST RAINBOW",6,Documentary,12281,"2005-05-25 19:13:25",0.99
116,"2005-05-25 19:27:51","2005-05-26 16:23:51",1,18,"CAROL GARCIA",1,"Lethbridge, Canada",973,"WIFE TURN",6,Documentary,469,"2005-05-25 19:27:51",4.99
117,"2005-05-25 19:30:46","2005-05-31 23:59:46",6,7,"MARIA MILLER",2,"Woodridge, Australia",931,"VALENTINE VANISHING",16,Travel,175,"2005-05-25 19:30:46",0.99
118,"2005-05-25 19:31:18","2005-05-31 15:00:18",6,524,"JARED ELY",2,"Woodridge, Australia",191,"CROOKED FROGMEN",3,Children,14098,"2005-05-25 19:31:18",0.99
119,"2005-05-25 19:37:02","2005-05-29 23:51:02",4,51,"ALICE STEWART",1,"Lethbridge, Canada",300,"FALCON VOLUME",2,Animation,1392,"2005-05-25 19:37:02",4.99
120,"2005-05-25 19:37:47","2005-06-01 23:29:47",7,365,"BRUCE SCHWARZ",2,"Woodridge, Australia",8,"AIRPORT POLLOCK",11,Horror,9858,"2005-05-25 19:37:47",5.99
121,"2005-05-25 19:41:29","2005-05-29 21:31:29",4,405,"LEONARD SCHOFIELD",2,"Woodridge, Australia",234,"DISTURBING SCARFACE",14,Sci-Fi,10941,"2005-05-25 19:41:29",2.99
122,"2005-05-25 19:46:21","2005-06-02 19:07:21",8,273,"PRISCILLA LOWE",2,"Woodridge, Australia",638,"OPERATION OPERATION",5,Comedy,7367,"2005-05-25 19:46:21",3.99
123,"2005-05-25 20:26:42","2005-05-26 19:41:42",1,43,"CHRISTINE ROBERTS",1,"Lethbridge, Canada",390,"GUYS FALCON",14,Sci-Fi,1179,"2005-05-25 20:26:42",4.99
124,"2005-05-25 20:46:11","2005-05-30 00:47:11",5,246,"MARIAN MENDOZA",1,"Lethbridge, Canada",48,"BACKLASH UNDEFEATED",3,Children,6654,"2005-05-25 20:46:11",6.99
125,"2005-05-25 20:48:50","2005-06-02 21:39:50",8,368,"HARRY ARCE",1,"Lethbridge, Canada",212,"DARN FORRESTER",1,Action,9941,"2005-05-25 20:48:50",5.99
126,"2005-05-25 21:07:59","2005-05-28 18:51:59",3,439,"ALEXANDER FENNELL",1,"Lethbridge, Canada",445,"HYDE DOCTOR",4,Classics,11829,"2005-05-25 21:07:59",2.99
127,"2005-05-25 21:10:40","2005-06-02 21:38:40",8,94,"NORMA GONZALES",2,"Woodridge, Australia",440,"HUNGER ROOF",9,Foreign,2555,"2005-05-25 21:10:40",2.99
128,"2005-05-25 21:19:53","2005-05-29 23:34:53",4,40,"AMANDA CARTER",2,"Woodridge, Australia",941,"VIDEOTAPE ARSENIC",10,Games,1097,"2005-05-25 21:19:53",4.99
129,"2005-05-25 21:20:03","2005-06-04 01:25:03",10,23,"SARAH LEWIS",1,"Lethbridge, Canada",902,"TRADING PINOCCHIO",15,Sports,601,"2005-05-25 21:20:03",8.99
130,"2005-05-25 21:21:56","2005-05-30 22:41:56",5,56,"GLORIA COOK",2,"Woodridge, Australia",869,"SUSPECTS QUILLS",1,Action,1535,"2005-05-25 21:21:56",3.99
131,"2005-05-25 21:42:46","2005-05-30 23:25:46",5,325,"TIMOTHY BUNN",2,"Woodridge, Australia",177,"CONNECTICUT TRAMP",14,Sci-Fi,8779,"2005-05-25 21:42:46",5.99
132,"2005-05-25 21:46:54","2005-05-31 21:02:54",6,479,"ZACHARY HITE",2,"Woodridge, Australia",738,"ROCKETEER MOTHER",9,Foreign,12926,"2005-05-25 21:46:54",3.99
133,"2005-05-25 21:48:30","2005-05-30 00:26:30",5,237,"TANYA GILBERT",1,"Lethbridge, Canada",89,"BORROWERS BEDAZZLED",2,Animation,6386,"2005-05-25 21:48:30",0.99
134,"2005-05-25 21:48:41","2005-06-02 18:28:41",8,222,"DELORES HANSEN",2,"Woodridge, Australia",491,"JUMPING WRATH",3,Children,6004,"2005-05-25 21:48:41",4.99
135,"2005-05-25 21:58:58","2005-06-03 17:50:58",9,304,"DAVID ROYAL",1,"Lethbridge, Canada",21,"AMERICAN CIRCUS",1,Action,8243,"2005-05-25 21:58:58",10.99
136,"2005-05-25 22:02:30","2005-05-31 18:06:30",6,504,"NATHANIEL ADAM",1,"Lethbridge, Canada",500,"KISS GLORY",9,Foreign,13577,"2005-05-25 22:02:30",5.99
137,"2005-05-25 22:25:18","2005-06-01 02:30:18",7,560,"JORDAN ARCHULETA",1,"Lethbridge, Canada",569,"MENAGERIE RUSHMORE",2,Animation,14991,"2005-05-25 22:25:18",2.99
138,"2005-05-25 22:48:22","2005-05-29 20:21:22",4,586,"KIRK STCLAIR",1,"Lethbridge, Canada",898,"TOURIST PELICAN",15,Sports,15690,"2005-05-25 22:48:22",4.99
